vorname,anzahl,geschlecht
Marie,279,w
Sophie,207,w
Maria,174,w
Maximilian,163,m
Paul,145,m
Anna,127,w
Alexander,126,m
Ben,109,m
Mia,107,w
Sophia,105,w
Noah,101,m
Emma,100,w
Felix,94,m
Luca,93,m
Emilia,91,w
Jakob,90,m
Anton,89,m
Johanna,87,w
Charlotte,86,w
David,84,m
Leon,83,m
Katharina,83,w
Luisa,80,w
Elias,74,m
Julian,73,m
Benjamin,72,m
Emil,71,m
Jonas,70,m
Jonathan,66,m
Lara,65,w
Max,65,m
Jan,64,m
Lukas,64,m
Tom,64,m
Lena,62,w
Marlene,62,w
Philipp,61,m
Mats,57,m
Elisabeth,56,w
Henri,56,m
Lina,55,w
Moritz,55,m
Julia,53,w
Johannes,52,m
Clara,51,w
Hannah,51,w
Laura,51,w
Leonie,51,w
Luis,51,m
Finn,50,m
Niklas,50,m
Luise,49,w
Mila,49,w
Leni,48,w
Julius,47,m
Leo,47,m
Lea,46,w
Tim,46,m
Henry,45,m
Leonard,45,m
Louis,45,m
Greta,44,w
Samuel,44,m
Vincent,44,m
Elisa,43,w
Daniel,43,m
Oskar,43,m
Ella,42,w
Liam,42,m
Elif,41,w
Nele,41,w
Gabriel,41,m
Michael,41,m
Simon,40,m
Antonia,39,w
Emily,39,w
Theo,39,m
Hanna,38,w
Johann,38,m
Klara,37,w
Pia,37,w
Ali,37,m
Valentin,37,m
Helena,36,w
Isabella,36,w
Josephine,36,w
Paula,36,w
Sara,36,w
Sofia,36,w
Can,36,m
Florian,36,m
Louisa,35,w
Victoria,35,w
Christian,35,m
Muhammed,34,m
Helene,33,w
Ida,33,w
Lotta,33,w
Maya,33,w
Pauline,33,w
Adrian,33,m
Karl,33,m
Peter,33,m
Tobias,33,m
Amelie,32,w
Matilda,32,w
Justus,32,m
Mika,32,m
Melina,31,w
Nur,31,w
Frederik,31,m
Noel,31,m
Frida,30,w
Lisa,30,w
Sarah,30,w
Zoe,30,w
Fabian,30,m
Konstantin,30,m
Mathilda,29,w
Mira,29,w
Joel,29,m
Levi,29,m
Mina,28,w
Valentina,28,w
Emir,28,m
Erik,28,m
Martin,28,m
Ole,28,m
