vorname,anzahl,geschlecht
Marie,338,w
Sophie,295,w
Maria,193,w
Maximilian,182,m
Paul,152,m
Alexander,148,m
Elias,126,m
Emilia,123,w
Mia,123,w
Johanna,120,w
Ben,115,m
Felix,112,m
Anna,107,w
Noah,104,m
Charlotte,104,w
Sophia,103,w
Jonas,102,m
Leon,102,m
Anton,98,m
Emma,92,w
Jakob,91,m
Mila,89,w
Julian,83,m
David,82,m
Emil,77,m
Luca,77,m
Katharina,72,w
Luisa,70,w
Greta,68,w
Moritz,68,m
Max,66,m
Leo,65,m
Clara,64,w
Lina,63,w
Marlene,63,w
Jonathan,62,m
Elif,61,w
Samuel,60,m
Ida,59,w
Lena,59,w
Benjamin,58,m
Tom,58,m
Jan,57,m
Julius,57,m
Mats,57,m
Philipp,57,m
Sofia,56,w
Louis,56,m
Lara,55,w
Johannes,55,m
Amelie,54,w
Elisa,54,w
Hanna,54,w
Hannah,54,w
Henri,54,m
Lea,53,w
Finn,53,m
Leonie,52,w
Johann,52,m
Tim,52,m
Elisabeth,51,w
Ella,51,w
Luise,51,w
Mina,51,w
Theo,51,m
Julia,50,w
Liam,50,m
Luis,50,m
Lukas,50,m
Niklas,49,m
Karl,48,m
Oskar,48,m
Mira,47,w
Paula,47,w
Gabriel,47,m
Helena,46,w
Henry,46,m
Emily,45,w
Laura,45,w
Vincent,45,m
Lotta,44,w
Ali,44,m
Leonard,44,m
Peter,44,m
Lisa,43,w
Valentin,42,m
Josefine,41,w
Daniel,41,m
Leni,40,w
Muhammed,40,m
Simon,40,m
Matilda,39,w
Milan,39,m
Klara,38,w
Maja,38,w
Victoria,38,w
Mathilda,37,w
Carla,36,w
Nele,36,w
Pauline,36,w
Can,36,m
Frida,35,w
Levi,35,m
Jana,35,w
Ole,35,m
Sara,35,w
Christian,34,m
Antonia,34,w
Josephine,33,w
Carl,32,m
Konstantin,32,m
Louisa,32,w
Justus,31,m
Isabella,31,w
Florian,30,m
Nur,30,w
Jonah,30,m
Pia,30,w
Josef,30,m
Valentina,30,w
Noel,30,m
Theodor,30,m
Frieda,29,w
Emilio,29,m
Joel,29,m
Martin,29,m
Michael,29,m
Mika,29,m
Elena,28,w
Melina,28,w
Ferdinand,28,m
Linus,28,m
Franziska,27,w
Lia,27,w
Martha,27,w
Erik,27,m
Robin,27,m
Thomas,27,m
Yusuf,27,m
Ela,26,w
Isabel,26,w
Nora,26,w
Zeynep,26,w
Joshua,26,m
Lotte,25,w
Sarah,25,w
Zoe,25,w
Adam,25,m
Frederik,25,m
Fritz,25,m
Ilyas,25,m
Matthias,25,m
Alina,24,w
Lilly,24,w
Maya,24,w
Bruno,24,m
Emir,24,m
Friedrich,24,m
Hannes,24,m
Nick,24,m
Raphael,24,m
Carlotta,23,w
Nina,23,w
Constantin,23,m
Fabian,23,m
Kaan,23,m
Matteo,23,m
Mattis,23,m
Miray,22,w
Romy,22,w
Stella,22,w
Tilda,22,w
Viktoria,22,w
Benedikt,22,m
Jasper,22,m
Miran,22,m
Sebastian,22,m
Timo,22,m
Tobias,22,m
Amalia,21,w
Amelia,21,w
Eva,21,w
Julie,21,w
Liya,21,w
Mara,21,w
Yasmin,21,w
Lucas,21,m
Toni,21,m
Helene,20,w
Isabelle,20,w
Lucia,20,w
Meryem,20,w
Olivia,20,w
Heinrich,20,m
Jona,20,m
Luke,20,m
Malik,20,m
Marlon,20,m
Maxim,20,m
Milo,20,m
Mustafa,20,m
Oscar,20,m
Angelina,19,w
Anni,19,w
Deniz,19,m
Eric,19,m
Ibrahim,19,m
Jannis,19,m
Leander,19,m
Nico,19,m
Wilhelm,19,m
Elise,18,w
Linda,18,w
Luna,18,w
Alessio,18,m
Damian,18,m
Johan,18,m
Nicolas,18,m
Alexandra,17,w
Alma,17,w
Aurelia,17,w
Jule,17,w
Louise,17,w
Rosa,17,w
Sofie,17,w
Su,17,w
Carlo,17,m
Lasse,17,m
Leonardo,17,m
Mert,17,m
Richard,17,m
Sami,17,m
Severin,17,m
Amira,16,w
Ava,16,w
Fiona,16,w
Magdalena,16,w
Marleen,16,w
Merle,16,w
Paulina,16,w
Aaron,16,m
Adrian,16,m
Cornelius,16,m
Eren,16,m
Franz,16,m
Georg,16,m
Hamza,16,m
James,16,m
Kian,16,m
Lennard,16,m
Malte,16,m
Michel,16,m
Rafael,16,m
Ömer,16,m
Amina,15,w
Annika,15,w
Christine,15,w
Lou,15,w
Luana,15,w
Marina,15,w
Nisa,15,w
Bennet,15,m
Dominik,15,m
Fynn,15,m
Kerem,15,m
Lennart,15,m
Levin,15,m
Ludwig,15,m
Mohamed,15,m
Selim,15,m
Till,15,m
Yasin,15,m
Anastasia,14,w
Aurora,14,w
Fabienne,14,w
Melissa,14,w
Mona,14,w
Arda,14,m
Caspar,14,m
Elyas,14,m
Enes,14,m
Hans,14,m
Janosch,14,m
Matti,14,m
Nils,14,m
Alessia,13,w
Amélie,13,w
Asya,13,w
Ayla,13,w
Chiara,13,w
Henriette,13,w
Karla,13,w
Livia,13,w
Lucy,13,w
Melek,13,w
Milena,13,w
Ahmet,13,m
Andreas,13,m
Arian,13,m
Efe,13,m
Hugo,13,m
Jacob,13,m
Kilian,13,m
Konrad,13,m
Luka,13,m
Taha,13,m
Yannick,13,m
Hira,12,w
Isabell,12,w
Leyla,12,w
Liv,12,w
Madita,12,w
Rose,12,w
Zehra,12,w
Zoey,12,w
Zoé,12,w
Alex,12,m
Antonio,12,m
Bela,12,m
Bilal,12,m
Christoph,12,m
Clemens,12,m
Hendrik,12,m
Ilias,12,m
Lennox,12,m
Lio,12,m
Maria,12,m
Musa,12,m
Robert,12,m
Semih,12,m
Christina,11,w
Diana,11,w
Dilara,11,w
Edda,11,w
Emilie,11,w
Esma,11,w
Jasmin,11,w
Jolie,11,w
Lilli,11,w
Vanessa,11,w
Benno,11,m
Emin,11,m
Henrik,11,m
Jason,11,m
Laurenz,11,m
Leandro,11,m
Marcel,11,m
Maurice,11,m
Oliver,11,m
Pepe,11,m
Thore,11,m
Yiğit,11,m
Alisa,10,w
Alissa,10,w
Alva,10,w
Annabelle,10,w
Carolina,10,w
Ceylin,10,w
Elin,10,w
Elsa,10,w
Felicitas,10,w
Freya,10,w
Juna,10,w
Lene,10,w
Lucie,10,w
Lynn,10,w
Margarete,10,w
Marta,10,w
Sena,10,w
Theresa,10,w
Abdullah,10,m
Ahmed,10,m
Albert,10,m
Amir,10,m
Bo,10,m
Colin,10,m
Emanuel,10,m
Emilian,10,m
Gustav,10,m
Jannik,10,m
Jürgen,10,m
Kuzey,10,m
Leopold,10,m
Mahir,10,m
Mateo,10,m
Mio,10,m
Otto,10,m
Sam,10,m
Wolfgang,10,m
Alice,9,w
Ana,9,w
Azra,9,w
Dana,9,w
Elina,9,w
Emelie,9,w
Fatima,9,w
Giulia,9,w
Joleen,9,w
Kristin,9,w
Liana,9,w
Linn,9,w
Medina,9,w
Melis,9,w
Milla,9,w
Miriam,9,w
Samira,9,w
Thea,9,w
Theresia,9,w
